1,A&A,Astronomy And Astrophysics,https://www.acronymslist.com/acronym/1.html
2,AACS,Attitude And Articulation Control Subsystem,https://www.acronymslist.com/acronym/2.html
3,AAO,Anglo-Australian Observatory,https://www.acronymslist.com/acronym/3.html
4,AAS,American Astronomical Society,https://www.acronymslist.com/acronym/4.html
5,AAS,American Astronautical Society,https://www.acronymslist.com/acronym/5.html
6,AAVSO,American Association Of Variable Star Observers,https://www.acronymslist.com/acronym/6.html
7,AC,Atlas Centaur,https://www.acronymslist.com/acronym/7.html
8,ACE,Advanced Composition Explorer,https://www.acronymslist.com/acronym/8.html
9,ACF,Automated Control Function,https://www.acronymslist.com/acronym/9.html
10,ACR,Active Cavity Radiometer,https://www.acronymslist.com/acronym/10.html
11,ACRIM,ACR Irradiance Monitor,https://www.acronymslist.com/acronym/11.html
12,ACRV,Assured Crew Return Vehicle,https://www.acronymslist.com/acronym/12.html
13,ACRV,Astronaut Crew Rescue Vehicle,https://www.acronymslist.com/acronym/13.html
14,ACTS,Advanced Communications Technology Satellite,https://www.acronymslist.com/acronym/14.html
15,ADEOS,Advanced Earth Observing Satellite,https://www.acronymslist.com/acronym/15.html
16,ADFRF,Ames-Dryden Flight Research Facility,https://www.acronymslist.com/acronym/16.html
17,ADS,Astrophysical Data System (at Havard-Smithsonian CfA),https://www.acronymslist.com/acronym/17.html
18,ADS,Aitken Double Star Catalog,https://www.acronymslist.com/acronym/18.html
19,AE, Arianespace SA,https://www.acronymslist.com/acronym/19.html
20,AEPI,Atmospheric Emissions Photometric Imaging,https://www.acronymslist.com/acronym/20.html
21,AF,Air Force,https://www.acronymslist.com/acronym/21.html
22,AFETR,USAF's ETR,https://www.acronymslist.com/acronym/22.html
23,AFGWC,Air Force Global Weather Center,https://www.acronymslist.com/acronym/23.html
24,AFP,Air Force Program,https://www.acronymslist.com/acronym/24.html
25,AFPRO,Air Force Plan Representative Office,https://www.acronymslist.com/acronym/25.html
26,AFRSI,Advanced FRSI,https://www.acronymslist.com/acronym/26.html
27,AFWTR,USAF's WTR,https://www.acronymslist.com/acronym/27.html
28,AGB,Asymptotic Giant Branch,https://www.acronymslist.com/acronym/28.html
29,AGE,Auxiliary Ground Equipment,https://www.acronymslist.com/acronym/29.html
30,AGN,Active Galactic Nucleus,https://www.acronymslist.com/acronym/30.html
31,AGU,American Geophysical Union,https://www.acronymslist.com/acronym/31.html
32,AIAA,American Institute Of Aeronautics And Astronautics,https://www.acronymslist.com/acronym/32.html
33,AIPS,Astronomical Image Processing System,https://www.acronymslist.com/acronym/33.html
34,AIRS,Atmospheric Infrared Sounder,https://www.acronymslist.com/acronym/34.html
35,AJ,Astronomical Journal,https://www.acronymslist.com/acronym/35.html
36,ALAE,Atmospheric Lyman-Alpha Emissions,https://www.acronymslist.com/acronym/36.html
37,ALDP,Advanced Launch Development Program,https://www.acronymslist.com/acronym/37.html
38,ALEXIS,Array Of Low Energy X-ray Imaging Sensors,https://www.acronymslist.com/acronym/38.html
39,ALPO,Association Of Lunar And Planetary Observers,https://www.acronymslist.com/acronym/39.html
40,ALS,Advanced Launch System,https://www.acronymslist.com/acronym/40.html
41,AMOS,Air Force Maui Optical System,https://www.acronymslist.com/acronym/41.html
42,AMSR,Advanced Microwave Sounding Radiometer,https://www.acronymslist.com/acronym/42.html
43,ANSI,American National Standards Institute,https://www.acronymslist.com/acronym/43.html
44,AOA,Abort Once Around (shuttle Abort Plan),https://www.acronymslist.com/acronym/44.html
45,AOA,Angle Of Attack,https://www.acronymslist.com/acronym/45.html
46,AOCS,Attitude And Orbit Control System,https://www.acronymslist.com/acronym/46.html
47,APE,Auroral Photography Experiment,https://www.acronymslist.com/acronym/47.html
48,APJ,Astrophysical Journal,https://www.acronymslist.com/acronym/48.html
49,APL,Applied Physics Laboratory (at Johns Hopkins),https://www.acronymslist.com/acronym/49.html
50,APM,Attached Pressurized Module (a.k.a. Columbus),https://www.acronymslist.com/acronym/50.html
51,APM,Atmospheric Particle Monitor,https://www.acronymslist.com/acronym/51.html
52,APT,Automatic Picture Transmission,https://www.acronymslist.com/acronym/52.html
53,APT,Automatic Photoelectric Telescope,https://www.acronymslist.com/acronym/53.html
54,APU,Auxiliary Power Unit,https://www.acronymslist.com/acronym/54.html
55,ARC,Ames Research Center (NASA),https://www.acronymslist.com/acronym/55.html
56,ARC,Astrophysical Research Consortium,https://www.acronymslist.com/acronym/56.html
57,ARISTOTELES,Applications And Research Involving Space Technologies Observing The Earth's Field From Low Earth Orbiting Satellite,https://www.acronymslist.com/acronym/57.html
58,ARRL,American Radio Relay League,https://www.acronymslist.com/acronym/58.html
59,ARTEMIS,Advanced Relay TEchnology MISsion,https://www.acronymslist.com/acronym/59.html
60,ASA,Astronomical Society Of The Atlantic,https://www.acronymslist.com/acronym/60.html
61,ASCO,Arab Satellite Communications Organization,https://www.acronymslist.com/acronym/61.html
62,ASE,Advanced Space Engine,https://www.acronymslist.com/acronym/62.html
63,ASEM,Assembly Of Station By EVA Methods,https://www.acronymslist.com/acronym/63.html
64,ASI,Agenzia Spaziale Italiano,https://www.acronymslist.com/acronym/64.html
65,ASP,Astronomical Society Of The Pacific,https://www.acronymslist.com/acronym/65.html
66,ASRM,Advanced Solid Rocket Motor,https://www.acronymslist.com/acronym/66.html
67,ASS,Antenna Support Structure,https://www.acronymslist.com/acronym/67.html
68,ASTER,Advanced Spaceborne Thermal Emission And Reflection,https://www.acronymslist.com/acronym/68.html
69,ASTRO,Space Astrophysics Laboratory,https://www.acronymslist.com/acronym/69.html
70,ATAL,Alternate Transoceanic Abort Landing,https://www.acronymslist.com/acronym/70.html
71,ATCS,Active Thermal Control System,https://www.acronymslist.com/acronym/71.html
72,ATDRS,Advanced Tracking And Data Relay Satellite,https://www.acronymslist.com/acronym/72.html
73,ATLAS,Atmospheric Laboratory For Applications And Science,https://www.acronymslist.com/acronym/73.html
74,ATM,Amateur Telescope Maker,https://www.acronymslist.com/acronym/74.html
75,ATM,Apollo Telescope Mount (on Skylab),https://www.acronymslist.com/acronym/75.html
76,ATMOS,Atmospheric Trace Molecule Spectroscopy,https://www.acronymslist.com/acronym/76.html
77,ATO,Abort To Orbit,https://www.acronymslist.com/acronym/77.html
78,ATSR,Along Track Scanning Radiometer,https://www.acronymslist.com/acronym/78.html
79,AU,Astronomical Unit,https://www.acronymslist.com/acronym/79.html
